date,open,high,low,close,volume,amount,code,return,is_extreme
2020-01-02,1963.5383295,1998.9173985,1951.7453065,1989.4829801,153023187,2571196482.14,000001,,False
2020-01-03,1997.7380962,2041.3722813,1995.3794916,2026.0413514,111619481,1914495474.63,000001,0.018209019998232316,False
2020-01-06,2005.9932123,2044.9101882,1994.2001893,2013.0690261,86208350,1477930193.19,000001,-0.00642337974976009,False
2020-01-07,2020.1448399,2037.8343744,1998.9173985,2022.5034445,72860756,1247047135.26,000001,0.004675636805599644,False
2020-01-08,2004.81391,2010.7104215,1961.1797249,1964.7176318,84782412,1423608811.18,000001,-0.028987536873252298,False
2020-01-09,1982.4071663,1996.5587939,1949.3867019,1980.0485617,103163665,1725326806.25,000001,0.007772834350752887,False
2020-01-10,1980.0485617,1982.4071663,1948.2073996,1968.2555387,58554845,975154818.78,000001,-0.005973733415705704,False
2020-01-13,1975.3313525,2008.3518169,1958.8211203,2003.6346077,87213336,1468271683.72,000001,0.017815198010096896,False
2020-01-14,2003.6346077,2036.6550721,1976.5106548,1976.5106548,130449366,2217608852.69,000001,-0.013629840629903621,False
2020-01-15,1980.0485617,1988.3036778,1939.9522835,1948.2073996,85943912,1424889228.07,000001,-0.014423326961105052,False
2020-01-16,1948.2073996,1954.1039111,1910.469726,1925.8006559,102810467,1678888507.83,000001,-0.011567861110458216,False
2020-01-17,1931.6971674,1951.7453065,1928.1592605,1932.8764697,60543669,995909007.35,000001,0.0036674857733644335,False
2020-01-20,1937.5936789,1958.8211203,1928.1592605,1939.9522835,74607475,1226464649.55,000001,0.0036540844556427372,False
2020-01-21,1926.9799582,1926.9799582,1878.6285639,1886.88368,89660310,1442171431.55,000001,-0.02773675497159975,False
2020-01-22,1877.4492616,1905.7525168,1852.6839133,1897.4974007,71946491,1150933398.98,000001,0.0056092387645105945,False
2020-01-23,1877.4492616,1877.4492616,1814.9462397,1832.6357742,110059207,1723394336.66,000001,-0.034780616064790486,False
2020-02-03,1649.8439177,1733.574381,1649.8439177,1649.8439177,225919483,3201454164.92,000001,-0.10507455626211151,False
2020-02-04,1656.9197315,1728.8571718,1653.3818246,1721.781358,170617207,2442932842.71,000001,0.04267874003690092,False
2020-02-05,1720.6020557,1755.9811247,1688.7608936,1725.3192649,149138021,2177632043.62,000001,0.0020526863177422615,False
2020-02-06,1746.5467063,1753.6225201,1711.1676373,1741.8294971,118581572,1740107625.42,000001,0.009523881511255541,False
2020-02-07,1721.781358,1732.3950787,1699.3746143,1724.1399626,92485296,1345053255.67,000001,-0.010207642221655997,False
2020-02-10,1711.1676373,1713.5262419,1686.402289,1709.988335,133949524,1931983482.1,000001,-0.008241804895103755,False
2020-02-11,1721.781358,1761.8776362,1717.0641488,1744.1881017,140750744,2077194138.92,000001,0.01980262729617973,False
2020-02-12,1744.1881017,1747.7260086,1721.781358,1741.8294971,107050321,1573229042.55,000001,-0.0013531801794199703,False
2020-02-13,1734.7536833,1754.8018224,1722.9606603,1727.6778695,101320528,1491327713.78,000001,-0.00815776108021206,False
2020-02-14,1739.4708925,1785.4636822,1733.574381,1772.4913569,151243473,2253906452.48,000001,0.02560786830180684,False
2020-02-17,1773.6706592,1812.5876351,1760.6983339,1812.5876351,154369601,2337993586.12,000001,0.022369353785621306,False
2020-02-18,1807.8704259,1807.8704259,1770.1327523,1792.539496,97361235,1478274222.58,000001,-0.011122129698273748,False
2020-02-19,1780.746473,1812.5876351,1778.3878684,1797.2567052,87410693,1333730218.97,000001,0.0026281224062694084,False
2020-02-20,1800.7946121,1842.0701926,1780.746473,1838.5322857,123544434,1897923029.04,000001,0.02270613281118504,False
2020-02-21,1826.7392627,1853.8632156,1822.0220535,1837.3529834,99507102,1546692930.16,000001,-0.0006416426270829612,False
2020-02-24,1823.2013558,1823.2013558,1786.6429845,1796.0774029,119179450,1820183854.52,000001,-0.022720873535531837,False
2020-02-25,1768.95345,1784.2843799,1743.0087994,1773.6706592,114457502,1710369786.03,000001,-0.012553848385376633,False
2020-02-26,1741.8294971,1800.7946121,1733.574381,1767.7741477,117659915,1769612245.37,000001,-0.0033300064071874937,False
2020-02-27,1764.2362408,1786.6429845,1755.9811247,1781.9257753,97527090,1464605739.46,000001,0.007973464170141952,False
2020-02-28,1751.2639155,1773.6706592,1705.2711258,1709.988335,130064445,1906892413.31,000001,-0.0412081268581195,False
2020-03-02,1715.8848465,1763.0569385,1705.2711258,1744.1881017,111658066,1647432269.71,000001,0.01980262729617973,False
2020-03-03,1764.2362408,1767.7741477,1725.3192649,1735.9329856,115358432,1705816271.89,000001,-0.004744163421978377,False
